bench name,total timing (seconds),iterations,total decision procedure timing (seconds),result (success/fail)
aws_add_size_checked,1.084,1,0.080,success
aws_add_size_saturating,1.179,1,0.130,success
aws_array_eq,2.639,1,0.336,success
aws_array_eq_c_str,2.356,1,0.190,success
aws_array_eq_c_str_ignore_case,2.903,1,0.715,success
aws_array_eq_ignore_case,2.965,1,0.726,success
aws_array_list_back,9.648,1,7.444,success
aws_array_list_capacity,6.497,1,4.469,success
aws_array_list_clean_up,1.842,1,0.246,success
aws_array_list_clear,2.239,1,0.573,success
aws_array_list_comparator_string,4.406,1,1.535,success
aws_array_list_copy,14.655,1,12.108,success
aws_array_list_ensure_capacity,11.492,1,9.023,success
aws_array_list_erase,245.829,1,242.364,success
aws_array_list_front,20.908,1,18.690,success
aws_array_list_get_at,56.650,1,54.470,success
aws_array_list_get_at_ptr,6.967,1,4.756,success
aws_array_list_init_dynamic,2.023,1,0.411,success
aws_array_list_init_static,3.043,1,1.365,success
aws_array_list_length,3.043,1,1.132,success
aws_array_list_pop_back,52.565,1,50.269,success
aws_array_list_pop_front,19.122,1,16.534,success
aws_array_list_pop_front_n,21.162,1,18.826,success
aws_array_list_push_back,62.844,1,59.846,success
aws_array_list_set_at,28.398,1,25.624,success
aws_array_list_shrink_to_fit,30.752,1,28.113,success
aws_array_list_sort,19.680,1,17.474,success
aws_array_list_swap,47.917,1,45.277,success
aws_array_list_swap_contents,7.284,1,5.180,success
aws_byte_buf_advance,3.730,1,0.920,success
aws_byte_buf_append,3.309,1,0.741,success
aws_byte_buf_append_dynamic,117.758,1,115.155,success
aws_byte_buf_append_with_lookup,5.218,1,2.597,success
aws_byte_buf_cat,62.043,1,58.363,success
aws_byte_buf_clean_up,2.005,1,0.030,success
aws_byte_buf_clean_up_secure,4.776,1,2.444,success
aws_byte_buf_eq,3.319,1,0.594,success
aws_byte_buf_eq_c_str,2.755,1,0.282,success
aws_byte_buf_eq_c_str_ignore_case,3.270,1,0.785,success
aws_byte_buf_eq_ignore_case,3.688,1,0.892,success
aws_byte_buf_from_array,2.393,1,0.165,success
aws_byte_buf_from_c_str,2.529,1,0.088,success
aws_byte_buf_from_empty_array,2.396,1,0.140,success
aws_byte_buf_init,2.013,1,0.034,success
aws_byte_buf_init_copy,4.259,1,0.835,success
aws_byte_buf_init_copy_from_cursor,2.959,1,0.397,success
aws_byte_buf_reserve,2.796,1,0.256,success
aws_byte_buf_reserve_relative,2.819,1,0.527,success
aws_byte_buf_reset,2.656,1,0.247,success
aws_byte_buf_secure_zero,6.549,1,4.044,success
aws_byte_buf_write,19.641,1,17.196,success
aws_byte_buf_write_be16,2.639,1,0.118,success
aws_byte_buf_write_be32,2.684,1,0.146,success
aws_byte_buf_write_be64,2.782,1,0.242,success
aws_byte_buf_write_from_whole_buffer,4.212,1,1.391,success
aws_byte_buf_write_from_whole_cursor,3.088,1,0.437,success
aws_byte_buf_write_from_whole_string,8.377,1,5.094,success
aws_byte_buf_write_u8,2.557,1,0.083,success
aws_byte_cursor_advance,3.488,1,1.218,success
aws_byte_cursor_advance_nospec,4.262,1,1.899,success
aws_byte_cursor_compare_lexical,3.501,1,0.758,success
aws_byte_cursor_compare_lookup,17.555,1,13.313,success
